"NUM_CLIENT"	"SOLDE"
3271	-16879,752
3272	0
3273	-5274,41
3274	-819,469
3275	0
3276	0
3277	0
3278	-1,228
3279	-2024,167
3280	0
3281	0
3282	0
3283	-2393,668
3284	-2464,038
3285	0
3286	-9854,973
3287	-28899,2
3288	-3698,529
3289	-788,499
3290	0
3291	-1000,061
3292	-0,272
3293	-2506,712
3294	0
3295	-278,44
3296	0
3297	0
3298	0
3299	-359,298
3300	-482,74
3301	0
3302	0
3303	0
3304	-343,32
3305	0
3306	293,144
3307	5
3308	413,863
3309	0
3310	0
3311	0,381
3312	0
3313	0
3314	-0,176
3315	0
1076	0
1077	-2303,16
1078	9
1079	0
1080	0
1081	0
1082	-2647,503
1083	-0,846
1084	-234,203
1085	0
1086	-2782,176
1087	0
1088	0
1089	-21881,713
1090	0
1091	0
1092	0
1093	-611,456
1094	0
1095	0
1096	0
1097	0
